S.No.,State,City,Station Name,Current AQI value
236,,,"Gupteshwar, Jabalpur - JMC",62
237,,,"Marhatal, Jabalpur - MPPCB",91
238,,,"Suhagi, Jabalpur - JMC",80
239,,Katni,"Gole Bazar, Katni - MPPCB",109
240,,Maihar,"Sahilara, Maihar - KJS Cements",56
241,,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",204
242,,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",109
243,,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",121
244,,Sagar,"Civil Lines, Sagar - MPPCB",84
245,,,"Deen Dayal Nagar, Sagar - MPPCB",112
246,,Satna,"Bandhavgar Colony, Satna - Birla Cement",75
247,,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",172
248,,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",65
249,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",152
250,,Akola,"Ramdaspeth, Akola - MPCB",104
251,,Amravati,"Shivneri Colony, Amravati - MPCB",107
252,,,"Shri Shivaji Science College, Amaravati - MPCB",122
253,,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",94
254,,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",107
255,,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",85
256,,Badlapur,"Katrap, Badlapur - MPCB",120
257,,Belapur,"CBD Belapur, Belapur - MPCB",129
258,,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",107
259,,Boisar,"Khaira, Boisar - MPCB",79
260,,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",141
261,,,"MIDC Khutala, Chandrapur - MPCB",75
262,,Dhule,"Deopur, Dhule - MPCB",85
263,,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",86
264,,Jalna,"Old MIDC, Jalna - MPCB",84.3
265,,Kalyan,"Khadakpada, Kalyan - MPCB",125
266,,,"Pimpleshwar Mandir, Kalyan - MPCB",98
267,,Kolhapur,"Shivaji University, Kolhapur - MPCB",86
268,,,"Sinchan Bhavan, Kolhapur - MPCB",63
269,,Latur,"Sawe Wadi, Latur - MPCB",87
270,,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",127
271,,Malegaon,"Mahesh Nagar, Malegaon - MPCB",101
272,,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",122
273,,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",84.3
274,,,"Bandra Kurla Complex, Mumbai - MPCB",140
275,,,"Bandra, Mumbai - MPCB",84.3
276,,,"Borivali East, Mumbai - IITM",139
